Model,Scenario,Region,Variable,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095
IIASA GDP,SSP5_v9_130219,ECU,GDP|PPP per capita,Annual Average Growth [%],,,3.26,3.68,3.94,3.733,3.316,3.387,3.356,3.149,2.702,2.257,1.992,2.051,2.258,2.449,2.572,2.592,2.54,2.472
OECD Env-Growth,SSP1_v9_130325,ECU,GDP|PPP per capita,Annual Average Growth [%],3.884,2.036,2.71,2.405,3.128,3.685,3.928,3.919,3.738,3.471,3.235,2.994,2.724,2.473,2.244,2.099,1.988,1.895,1.814,1.742
OECD Env-Growth,SSP2_v9_130325,ECU,GDP|PPP per capita,Annual Average Growth [%],3.884,2.036,2.711,2.327,2.609,2.653,2.574,2.672,2.719,2.713,2.717,2.686,2.597,2.504,2.41,2.319,2.237,2.15,2.073,1.97
OECD Env-Growth,SSP3_v9_130325,ECU,GDP|PPP per capita,Annual Average Growth [%],3.884,2.036,2.71,2.175,1.853,1.462,1.1,1.126,1.115,1.153,1.221,1.291,1.328,1.358,1.371,1.341,1.291,1.267,1.244,1.229
OECD Env-Growth,SSP4_v9_130325,ECU,GDP|PPP per capita,Annual Average Growth [%],3.884,2.036,2.711,2.269,2.396,2.531,2.467,2.536,2.523,2.552,2.557,2.537,2.436,2.332,2.231,2.144,2.05,1.983,1.936,1.866
OECD Env-Growth,SSP5_v9_130325,ECU,GDP|PPP per capita,Annual Average Growth [%],3.884,2.036,2.71,2.436,3.553,4.53,4.935,4.791,4.506,4.161,3.879,3.614,3.323,3.056,2.82,2.678,2.579,2.496,2.429,2.366
IIASA GDP,SSP1_v9_130219,EGY,GDP|PPP per capita,Annual Average Growth [%],,,3.909,3.162,3.115,3.383,3.434,3.356,3.133,2.82,2.45,2.087,1.757,1.511,1.332,1.202,1.098,1.115,1.226,1.394
IIASA GDP,SSP2_v9_130219,EGY,GDP|PPP per capita,Annual Average Growth [%],,,3.809,2.717,2.381,2.521,2.663,2.723,2.662,2.514,2.296,2.068,1.85,1.656,1.478,1.304,1.162,1.05,0.976,0.904
IIASA GDP,SSP3_v9_130219,EGY,GDP|PPP per capita,Annual Average Growth [%],,,3.69,2.217,1.495,1.345,1.361,1.359,1.286,1.162,1.015,0.867,0.746,0.665,0.625,0.61,0.611,0.616,0.624,0.631
IIASA GDP,SSP4_v9_130219,EGY,GDP|PPP per capita,Annual Average Growth [%],,,3.718,2.289,1.585,1.468,1.508,1.613,1.665,1.623,1.509,1.383,1.296,1.259,1.231,1.189,1.137,1.091,1.053,1.017
IIASA GDP,SSP5_v9_130219,EGY,GDP|PPP per capita,Annual Average Growth [%],,,3.942,3.359,3.53,3.984,4.141,4.093,3.844,3.474,3.041,2.623,2.243,2.086,2.164,2.335,2.467,2.511,2.485,2.449
OECD Env-Growth,SSP1_v9_130325,EGY,GDP|PPP per capita,Annual Average Growth [%],1.633,4.303,1.736,4.661,4.945,5.274,5.198,4.727,4.102,3.511,3.121,2.829,2.523,2.206,1.956,1.79,1.669,1.575,1.482,1.399
OECD Env-Growth,SSP2_v9_130325,EGY,GDP|PPP per capita,Annual Average Growth [%],1.633,4.303,1.736,4.501,4.307,4.101,3.865,3.623,3.305,3.021,2.851,2.714,2.551,2.376,2.229,2.095,1.996,1.899,1.811,1.707
OECD Env-Growth,SSP3_v9_130325,EGY,GDP|PPP per capita,Annual Average Growth [%],1.633,4.303,1.736,4.348,3.583,2.91,2.393,2.098,1.758,1.49,1.471,1.509,1.507,1.456,1.399,1.326,1.258,1.214,1.175,1.137
OECD Env-Growth,SSP4_v9_130325,EGY,GDP|PPP per capita,Annual Average Growth [%],1.633,4.303,1.736,4.467,4.169,4.121,3.813,3.503,3.141,2.83,2.722,2.646,2.487,2.288,2.129,2.025,1.946,1.886,1.824,1.736
OECD Env-Growth,SSP5_v9_130325,EGY,GDP|PPP per capita,Annual Average Growth [%],1.633,4.303,1.736,4.715,5.45,6.101,6.09,5.453,4.735,4.093,3.697,3.411,3.11,2.791,2.549,2.399,2.294,2.218,2.141,2.071
IIASA GDP,SSP1_v9_130219,ERI,GDP|PPP per capita,Annual Average Growth [%],,,0.822,7.286,9.452,8.064,6.23,4.866,4.156,3.951,3.877,3.788,3.625,3.373,3.076,2.867,3.092,3.109,2.856,2.403
IIASA GDP,SSP2_v9_130219,ERI,GDP|PPP per capita,Annual Average Growth [%],,,0.622,6.726,8.427,6.749,4.865,3.524,2.88,2.743,2.745,2.766,2.769,2.731,2.699,2.698,2.735,2.742,2.697,2.591
IIASA GDP,SSP3_v9_130219,ERI,GDP|PPP per capita,Annual Average Growth [%],,,0.638,5.916,6.905,4.979,3.174,1.86,1.171,0.949,0.865,0.832,0.793,0.772,0.767,0.776,0.815,0.85,0.87,0.886
IIASA GDP,SSP4_v9_130219,ERI,GDP|PPP per capita,Annual Average Growth [%],,,0.58,5.937,7.077,5.364,3.722,2.53,1.912,1.749,1.721,1.74,1.727,1.702,1.674,1.655,1.666,1.676,1.675,1.673
IIASA GDP,SSP5_v9_130219,ERI,GDP|PPP per capita,Annual Average Growth [%],,,0.839,7.514,9.983,8.866,7.175,5.858,5.139,4.894,4.764,4.617,4.389,4.057,3.669,3.358,3.495,3.442,3.381,3.304
OECD Env-Growth,SSP1_v9_130325,ERI,GDP|PPP per capita,Annual Average Growth [%],0.676,-3.854,1.624,0.028,3.335,5.041,6.256,6.918,7.212,7.268,7.064,6.697,6.193,5.59,4.996,4.539,4.143,3.806,3.483,3.162
OECD Env-Growth,SSP2_v9_130325,ERI,GDP|PPP per capita,Annual Average Growth [%],0.676,-3.854,1.623,-0.629,1.979,2.548,2.844,3.482,4.106,4.655,5.038,5.249,5.293,5.2,5.072,4.952,4.845,4.696,4.506,4.289
OECD Env-Growth,SSP3_v9_130325,ERI,GDP|PPP per capita,Annual Average Growth [%],0.676,-3.854,1.623,-1.263,0.867,0.881,0.687,1.042,1.444,1.848,2.209,2.485,2.657,2.749,2.817,2.862,2.88,2.873,2.841,2.797
OECD Env-Growth,SSP4_v9_130325,ERI,GDP|PPP per capita,Annual Average Growth [%],0.676,-3.854,1.624,-1.346,0.568,0.474,-0.067,0.09,0.328,0.59,0.826,0.999,1.09,1.14,1.194,1.246,1.301,1.354,1.407,1.473
OECD Env-Growth,SSP5_v9_130325,ERI,GDP|PPP per capita,Annual Average Growth [%],0.676,-3.854,1.626,0.102,4.002,6.472,8.071,8.496,8.493,8.254,7.817,7.287,6.679,6.017,5.396,4.932,4.544,4.223,3.923,3.624
IIASA GDP,SSP1_v9_130219,ESP,GDP|PPP per capita,Annual Average Growth [%],,,1.979,2.675,2.995,2.709,2.368,2.017,1.749,1.563,1.463,1.366,1.268,1.153,1.038,0.974,0.985,1.009,1.047,1.079
IIASA GDP,SSP2_v9_130219,ESP,GDP|PPP per capita,Annual Average Growth [%],,,2.016,2.672,2.902,2.571,2.226,1.892,1.625,1.428,1.33,1.259,1.182,1.062,0.947,0.875,0.845,0.87,0.911,0.922
IIASA GDP,SSP3_v9_130219,ESP,GDP|PPP per capita,Annual Average Growth [%],,,0.806,0.684,0.789,0.928,1.075,1.152,1.135,1.053,1.025,1.022,1.026,0.996,0.928,0.863,0.852,0.895,0.967,1.01
IIASA GDP,SSP4_v9_130219,ESP,GDP|PPP per capita,Annual Average Growth [%],,,2.058,2.643,2.795,2.404,2.038,1.722,1.457,1.235,1.129,1.085,1.074,1.026,0.947,0.865,0.804,0.828,0.899,0.95
IIASA GDP,SSP5_v9_130219,ESP,GDP|PPP per capita,Annual Average Growth [%],,,1.935,2.744,3.176,3.019,2.767,2.451,2.194,2.001,1.882,1.762,1.662,1.545,1.437,1.377,1.377,1.375,1.381,1.391
OECD Env-Growth,SSP1_v9_130325,ESP,GDP|PPP per capita,Annual Average Growth [%],1.739,-0.315,0.332,0.812,0.902,1.282,1.428,1.325,1.205,1.244,1.419,1.562,1.632,1.556,1.447,1.454,1.488,1.523,1.505,1.426
OECD Env-Growth,SSP2_v9_130325,ESP,GDP|PPP per capita,Annual Average Growth [%],1.739,-0.315,0.332,0.814,0.819,1.013,1.028,0.962,0.931,1.083,1.336,1.546,1.652,1.576,1.464,1.455,1.451,1.5,1.532,1.499
OECD Env-Growth,SSP3_v9_130325,ESP,GDP|PPP per capita,Annual Average Growth [%],1.739,-0.315,0.332,0.803,0.689,0.731,0.595,0.426,0.339,0.529,0.81,1.037,1.155,1.043,0.892,0.907,0.927,1.002,1.063,1.037
OECD Env-Growth,SSP4_v9_130325,ESP,GDP|PPP per capita,Annual Average Growth [%],1.739,-0.315,0.332,0.778,0.836,1.209,1.347,1.26,1.197,1.36,1.574,1.731,1.797,1.668,1.52,1.518,1.498,1.54,1.569,1.523
OECD Env-Growth,SSP5_v9_130325,ESP,GDP|PPP per capita,Annual Average Growth [%],1.739,-0.315,0.332,0.801,1.051,1.693,2.003,1.91,1.803,1.845,2.025,2.175,2.259,2.211,2.13,2.126,2.146,2.159,2.122,2.047
IIASA GDP,SSP1_v9_130219,EST,GDP|PPP per capita,Annual Average Growth [%],,,3.589,2.001,2.307,1.872,1.476,1.141,0.953,0.929,1.093,1.309,1.475,1.542,1.557,1.561,1.599,1.618,1.588,1.584
IIASA GDP,SSP2_v9_130219,EST,GDP|PPP per capita,Annual Average Growth [%],,,3.69,2.008,2.135,1.591,1.228,0.982,0.868,0.81,0.878,1.019,1.166,1.246,1.273,1.279,1.288,1.304,1.317,1.33
IIASA GDP,SSP3_v9_130219,EST,GDP|PPP per capita,Annual Average Growth [%],,,3.799,2.008,1.97,1.301,0.904,0.709,0.662,0.644,0.686,0.749,0.849,0.946,1.001,1.012,1.016,1.047,1.1,1.142
IIASA GDP,SSP4_v9_130219,EST,GDP|PPP per capita,Annual Average Growth [%],,,3.801,2.056,2.057,1.404,1.028,0.864,0.842,0.845,0.894,0.998,1.123,1.215,1.252,1.244,1.218,1.206,1.211,1.244
IIASA GDP,SSP5_v9_130219,EST,GDP|PPP per capita,Annual Average Growth [%],,,3.585,2.113,2.578,2.294,1.987,1.654,1.563,1.665,1.902,2.117,2.257,2.286,2.26,2.227,2.228,2.216,2.165,2.124
OECD Env-Growth,SSP1_v9_130325,EST,GDP|PPP per capita,Annual Average Growth [%],7.552,0.066,4.591,3.534,3.149,3.04,2.794,2.34,1.936,1.545,1.289,1.452,1.521,1.439,1.249,1.175,1.167,1.216,1.264,1.247
OECD Env-Growth,SSP2_v9_130325,EST,GDP|PPP per capita,Annual Average Growth [%],7.552,0.066,4.58,3.48,2.962,2.82,2.717,2.463,2.154,1.823,1.551,1.681,1.77,1.655,1.486,1.377,1.319,1.308,1.338,1.345
OECD Env-Growth,SSP3_v9_130325,EST,GDP|PPP per capita,Annual Average Growth [%],7.552,0.066,4.594,3.368,2.714,2.557,2.37,2.118,1.794,1.41,1.136,1.275,1.359,1.241,0.963,0.851,0.761,0.76,0.879,0.86
OECD Env-Growth,SSP4_v9_130325,EST,GDP|PPP per capita,Annual Average Growth [%],7.552,0.066,4.583,3.542,3.197,3.155,2.937,2.497,2.168,1.834,1.573,1.731,1.81,1.673,1.483,1.398,1.349,1.335,1.406,1.368
OECD Env-Growth,SSP5_v9_130325,EST,GDP|PPP per capita,Annual Average Growth [%],7.552,0.066,4.592,3.643,3.489,3.417,3.153,2.665,2.314,2.008,1.837,1.992,2.12,2.079,1.953,1.89,1.875,1.9,1.928,1.926
IIASA GDP,SSP1_v9_130219,ETH,GDP|PPP per capita,Annual Average Growth [%],,,6.913,4.826,2.838,2.509,2.995,3.46,3.881,4.072,4.177,4.198,4.152,4.026,4.18,4.076,3.707,3.151,2.632,2.215
IIASA GDP,SSP2_v9_130219,ETH,GDP|PPP per capita,Annual Average Growth [%],,,5.737,3.624,1.697,1.494,1.857,2.132,2.38,2.498,2.661,2.858,3.06,3.189,3.264,3.226,3.108,2.974,2.849,3.126
IIASA GDP,SSP3_v9_130219,ETH,GDP|PPP per capita,Annual Average Growth [%],,,5.044,2.581,0.328,-0.156,-0.034,-0.015,-0.017,-0.119,-0.041,0.104,0.29,0.407,0.454,0.443,0.411,0.403,0.413,0.436
IIASA GDP,SSP4_v9_130219,ETH,GDP|PPP per capita,Annual Average Growth [%],,,4.978,2.665,0.617,0.395,0.728,0.937,1.074,1.061,1.194,1.379,1.581,1.699,1.737,1.714,1.67,1.649,1.647,1.656
IIASA GDP,SSP5_v9_130219,ETH,GDP|PPP per capita,Annual Average Growth [%],,,6.942,5.087,3.414,3.381,4.074,4.658,5.118,5.281,5.316,5.249,5.094,4.85,4.89,4.674,4.204,3.56,2.971,2.703
OECD Env-Growth,SSP1_v9_130325,ETH,GDP|PPP per capita,Annual Average Growth [%],3.822,7.945,4.571,4.74,5.414,6.489,7.105,7.231,7.002,6.558,6.022,5.462,4.932,4.46,4.037,3.642,3.29,2.996,2.763,2.548
OECD Env-Growth,SSP2_v9_130325,ETH,GDP|PPP per capita,Annual Average Growth [%],3.822,7.945,4.571,4.527,4.247,4.425,4.448,4.771,4.92,4.914,4.816,4.683,4.56,4.426,4.276,4.081,3.867,3.673,3.485,3.321
OECD Env-Growth,SSP3_v9_130325,ETH,GDP|PPP per capita,Annual Average Growth [%],3.822,7.945,4.571,4.344,3.198,2.68,2.21,2.348,2.402,2.324,2.293,2.292,2.349,2.388,2.37,2.293,2.196,2.115,2.047,1.992
OECD Env-Growth,SSP4_v9_130325,ETH,GDP|PPP per capita,Annual Average Growth [%],3.822,7.945,4.571,4.265,2.933,2.261,1.503,1.542,1.532,1.411,1.357,1.35,1.403,1.452,1.451,1.401,1.349,1.322,1.318,1.336
OECD Env-Growth,SSP5_v9_130325,ETH,GDP|PPP per capita,Annual Average Growth [%],3.822,7.945,4.571,4.841,6.12,7.816,8.64,8.471,7.973,7.322,6.644,5.995,5.413,4.914,4.483,4.096,3.754,3.473,3.255,3.055
IIASA GDP,SSP1_v9_130219,FIN,GDP|PPP per capita,Annual Average Growth [%],,,1.714,1.563,1.87,1.787,1.635,1.478,1.341,1.222,1.144,1.123,1.136,1.163,1.161,1.155,1.146,1.162,1.169,1.169
IIASA GDP,SSP2_v9_130219,FIN,GDP|PPP per capita,Annual Average Growth [%],,,1.76,1.594,1.838,1.694,1.505,1.343,1.207,1.095,1.026,1.007,1.019,1.02,1.008,0.996,0.974,0.959,0.961,0.977
IIASA GDP,SSP3_v9_130219,FIN,GDP|PPP per capita,Annual Average Growth [%],,,1.074,0.511,0.723,0.844,0.892,0.931,0.949,0.957,0.969,0.998,1.031,1.055,1.061,1.056,1.039,1.033,1.034,1.036
IIASA GDP,SSP4_v9_130219,FIN,GDP|PPP per capita,Annual Average Growth [%],,,1.84,1.719,1.975,1.763,1.479,1.285,1.174,1.11,1.076,1.07,1.073,1.071,1.059,1.047,1.018,0.991,0.981,0.992
IIASA GDP,SSP5_v9_130219,FIN,GDP|PPP per capita,Annual Average Growth [%],,,1.691,1.624,2.062,2.14,2.119,2.016,1.879,1.734,1.646,1.631,1.665,1.686,1.659,1.619,1.589,1.593,1.597,1.592
OECD Env-Growth,SSP1_v9_130325,FIN,GDP|PPP per capita,Annual Average Growth [%],2.352,0.643,1.791,1.407,1.318,1.468,1.596,1.558,1.353,1.187,1.092,1.049,1.108,1.137,1.124,1.108,1.093,1.116,1.153,1.174
OECD Env-Growth,SSP2_v9_130325,FIN,GDP|PPP per capita,Annual Average Growth [%],2.352,0.643,1.789,1.354,1.154,1.19,1.32,1.42,1.346,1.283,1.25,1.233,1.298,1.309,1.282,1.257,1.231,1.212,1.227,1.261
OECD Env-Growth,SSP3_v9_130325,FIN,GDP|PPP per capita,Annual Average Growth [%],2.352,0.643,1.791,1.344,1.13,1.1,1.114,1.143,1.004,0.905,0.843,0.82,0.876,0.84,0.77,0.75,0.72,0.731,0.763,0.762
OECD Env-Growth,SSP4_v9_130325,FIN,GDP|PPP per capita,Annual Average Growth [%],2.352,0.643,1.79,1.408,1.489,1.705,1.826,1.773,1.576,1.425,1.341,1.307,1.34,1.3,1.233,1.224,1.209,1.232,1.271,1.305
OECD Env-Growth,SSP5_v9_130325,FIN,GDP|PPP per capita,Annual Average Growth [%],2.352,0.643,1.789,1.478,1.558,1.841,2.04,1.977,1.79,1.644,1.581,1.585,1.697,1.785,1.816,1.791,1.76,1.763,1.79,1.828
IIASA GDP,SSP1_v9_130219,FJI,GDP|PPP per capita,Annual Average Growth [%],,,3.205,5.566,6.405,5.115,3.917,2.981,2.426,2.08,2.045,2.383,2.481,2.318,2.101,2.027,2.049,2.083,2.086,2.036
IIASA GDP,SSP2_v9_130219,FJI,GDP|PPP per capita,Annual Average Growth [%],,,3.06,5.327,5.884,4.443,3.274,2.467,2.05,1.85,1.875,1.855,1.823,1.756,1.657,1.604,2.009,2.315,2.445,2.36
IIASA GDP,SSP3_v9_130219,FJI,GDP|PPP per capita,Annual Average Growth [%],,,3.05,5.056,5.384,3.881,2.681,1.817,1.341,1.1,1.07,1.025,0.985,0.949,0.906,0.903,0.938,0.984,1.005,1.017
IIASA GDP,SSP4_v9_130219,FJI,GDP|PPP per capita,Annual Average Growth [%],,,3.14,5.041,5.189,3.539,2.277,1.49,1.134,1.022,1.066,1.064,1.017,0.957,0.891,0.911,0.998,1.098,1.161,1.158
IIASA GDP,SSP5_v9_130219,FJI,GDP|PPP per capita,Annual Average Growth [%],,,3.27,5.721,6.649,5.4,4.266,3.395,2.878,2.552,2.535,2.935,3.018,3.029,2.961,2.926,2.873,2.811,2.739,2.631
OECD Env-Growth,SSP1_v9_130325,FJI,GDP|PPP per capita,Annual Average Growth [%],2.153,-0.793,1.231,1.834,3.135,4.202,4.724,4.777,4.619,4.401,4.116,3.839,3.569,3.202,2.887,2.707,2.531,2.383,2.279,2.167
OECD Env-Growth,SSP2_v9_130325,FJI,GDP|PPP per capita,Annual Average Growth [%],2.153,-0.793,1.208,1.603,2.483,2.91,3.006,3.199,3.276,3.291,3.359,3.311,3.249,3.154,3.007,2.93,2.848,2.796,2.708,2.612
OECD Env-Growth,SSP3_v9_130325,FJI,GDP|PPP per capita,Annual Average Growth [%],2.153,-0.793,1.226,1.458,1.89,1.938,1.745,1.819,1.835,1.809,1.806,1.771,1.766,1.738,1.659,1.659,1.617,1.584,1.58,1.553
OECD Env-Growth,SSP4_v9_130325,FJI,GDP|PPP per capita,Annual Average Growth [%],2.153,-0.793,1.215,1.552,2.114,2.201,1.762,1.699,1.571,1.501,1.463,1.36,1.306,1.22,1.069,1.106,1.061,1.133,1.115,1.119
OECD Env-Growth,SSP5_v9_130325,FJI,GDP|PPP per capita,Annual Average Growth [%],2.153,-0.793,1.221,1.86,3.639,5.216,5.865,5.725,5.42,5.082,4.728,4.426,4.115,3.727,3.374,3.184,3.022,2.898,2.832,2.736
IIASA GDP,SSP1_v9_130219,FRA,GDP|PPP per capita,Annual Average Growth [%],,,1.129,2.643,3.179,2.932,2.538,2.146,1.836,1.607,1.435,1.306,1.246,1.182,1.135,1.124,1.162,1.17,1.159,1.157
IIASA GDP,SSP2_v9_130219,FRA,GDP|PPP per capita,Annual Average Growth [%],,,1.149,2.624,3.107,2.818,2.409,2.015,1.703,1.469,1.3,1.183,1.111,1.055,1.018,1,0.994,1.003,0.99,0.978
IIASA GDP,SSP3_v9_130219,FRA,GDP|PPP per capita,Annual Average Growth [%],,,-0.586,-0.092,0.316,0.743,0.998,1.126,1.164,1.154,1.124,1.098,1.077,1.064,1.056,1.054,1.058,1.063,1.064,1.064
IIASA GDP,SSP4_v9_130219,FRA,GDP|PPP per capita,Annual Average Growth [%],,,1.222,2.708,3.168,2.808,2.321,1.905,1.611,1.407,1.265,1.173,1.117,1.078,1.047,1.03,1.025,1.042,1.035,1.027
IIASA GDP,SSP5_v9_130219,FRA,GDP|PPP per capita,Annual Average Growth [%],,,1.11,2.667,3.278,3.131,2.825,2.463,2.144,1.882,1.688,1.554,1.508,1.45,1.395,1.367,1.382,1.385,1.381,1.385
OECD Env-Growth,SSP1_v9_130325,FRA,GDP|PPP per capita,Annual Average Growth [%],0.88,0.067,0.639,1.178,1.315,1.581,1.753,1.727,1.626,1.462,1.373,1.357,1.351,1.29,1.222,1.188,1.19,1.198,1.2,1.186
OECD Env-Growth,SSP2_v9_130325,FRA,GDP|PPP per capita,Annual Average Growth [%],0.88,0.067,0.639,1.163,1.189,1.275,1.333,1.366,1.357,1.282,1.256,1.279,1.269,1.217,1.168,1.151,1.145,1.171,1.186,1.189
OECD Env-Growth,SSP3_v9_130325,FRA,GDP|PPP per capita,Annual Average Growth [%],0.88,0.067,0.639,1.114,1.149,1.135,1.055,0.987,0.898,0.767,0.718,0.757,0.744,0.665,0.599,0.603,0.624,0.671,0.715,0.72
OECD Env-Growth,SSP4_v9_130325,FRA,GDP|PPP per capita,Annual Average Growth [%],0.88,0.067,0.639,1.18,1.39,1.687,1.839,1.81,1.736,1.604,1.531,1.532,1.487,1.385,1.295,1.27,1.26,1.299,1.329,1.32
OECD Env-Growth,SSP5_v9_130325,FRA,GDP|PPP per capita,Annual Average Growth [%],0.88,0.067,0.639,1.174,1.485,1.955,2.265,2.243,2.153,2,1.929,1.926,1.952,1.942,1.912,1.873,1.858,1.846,1.837,1.836
IIASA GDP,SSP1_v9_130219,GAB,GDP|PPP per capita,Annual Average Growth [%],,,-0.086,0.633,1.341,2.006,2.342,2.449,2.383,2.298,2.465,2.483,2.312,2.004,1.815,1.799,1.865,1.927,1.938,1.897
IIASA GDP,SSP2_v9_130219,GAB,GDP|PPP per capita,Annual Average Growth [%],,,-0.448,-0.107,0.432,1.141,1.663,1.925,2.031,2.039,1.989,1.93,1.93,1.917,2.215,2.308,2.213,2.04,1.948,1.886
IIASA GDP,SSP3_v9_130219,GAB,GDP|PPP per capita,Annual Average Growth [%],,,-1.029,-1.298,-0.97,-0.279,0.316,0.534,0.602,0.557,0.583,0.649,0.759,0.867,0.933,0.928,0.928,0.919,0.948,0.967
IIASA GDP,SSP4_v9_130219,GAB,GDP|PPP per capita,Annual Average Growth [%],,,-1.079,-1.364,-1.049,-0.328,0.306,0.601,0.751,0.781,0.87,0.989,1.122,1.221,1.26,1.225,1.199,1.17,1.181,1.182
IIASA GDP,SSP5_v9_130219,GAB,GDP|PPP per capita,Annual Average Growth [%],,,-0.063,0.787,1.667,2.476,2.889,3.023,2.95,2.839,2.978,2.961,2.832,2.758,2.767,2.796,2.78,2.726,2.635,2.515
OECD Env-Growth,SSP1_v9_130325,GAB,GDP|PPP per capita,Annual Average Growth [%],-0.369,0.91,1.645,1.623,2.675,3.048,3.158,3.125,2.988,2.741,2.507,2.256,2.06,1.888,1.707,1.616,1.497,1.422,1.356,1.269
OECD Env-Growth,SSP2_v9_130325,GAB,GDP|PPP per capita,Annual Average Growth [%],-0.369,0.91,1.64,1.356,1.966,2.062,2.06,2.163,2.226,2.218,2.185,2.12,2.102,2.077,2.015,1.959,1.905,1.813,1.744,1.651
OECD Env-Growth,SSP3_v9_130325,GAB,GDP|PPP per capita,Annual Average Growth [%],-0.369,0.91,1.643,0.914,1.015,0.858,0.751,0.822,0.866,0.885,0.893,0.88,0.91,0.918,0.936,0.881,0.852,0.807,0.789,0.762
OECD Env-Growth,SSP4_v9_130325,GAB,GDP|PPP per capita,Annual Average Growth [%],-0.369,0.91,1.639,0.776,0.851,0.994,1.08,1.289,1.419,1.534,1.603,1.634,1.674,1.71,1.718,1.674,1.628,1.594,1.567,1.541
OECD Env-Growth,SSP5_v9_130325,GAB,GDP|PPP per capita,Annual Average Growth [%],-0.369,0.91,1.64,1.672,3,3.691,3.936,3.839,3.668,3.387,3.126,2.873,2.676,2.494,2.314,2.226,2.113,2.035,1.974,1.891
IIASA GDP,SSP1_v9_130219,GBR,GDP|PPP per capita,Annual Average Growth [%],,,1.784,2.711,3.382,3.131,2.702,2.254,1.889,1.62,1.451,1.359,1.301,1.236,1.197,1.169,1.17,1.182,1.168,1.162
IIASA GDP,SSP2_v9_130219,GBR,GDP|PPP per capita,Annual Average Growth [%],,,1.817,2.676,3.251,2.933,2.496,2.07,1.728,1.475,1.316,1.235,1.196,1.155,1.116,1.089,1.069,1.046,1.022,1.013
IIASA GDP,SSP3_v9_130219,GBR,GDP|PPP per capita,Annual Average Growth [%],,,0.668,0.84,1.32,1.445,1.431,1.356,1.263,1.17,1.096,1.061,1.047,1.047,1.044,1.037,1.024,1.018,1.023,1.038
IIASA GDP,SSP4_v9_130219,GBR,GDP|PPP per capita,Annual Average Growth [%],,,1.898,2.761,3.286,2.872,2.343,1.895,1.576,1.351,1.204,1.126,1.088,1.06,1.035,1.021,1.007,0.988,0.968,0.972
IIASA GDP,SSP5_v9_130219,GBR,GDP|PPP per capita,Annual Average Growth [%],,,1.755,2.728,3.462,3.299,2.945,2.518,2.142,1.845,1.658,1.555,1.504,1.442,1.397,1.357,1.347,1.354,1.346,1.343
OECD Env-Growth,SSP1_v9_130325,GBR,GDP|PPP per capita,Annual Average Growth [%],2.415,-0.17,0.966,1.882,1.681,1.663,1.674,1.62,1.517,1.297,1.175,1.203,1.256,1.253,1.189,1.138,1.129,1.163,1.201,1.22
OECD Env-Growth,SSP2_v9_130325,GBR,GDP|PPP per capita,Annual Average Growth [%],2.415,-0.17,0.966,1.829,1.45,1.268,1.225,1.29,1.305,1.204,1.155,1.225,1.302,1.319,1.248,1.194,1.171,1.169,1.181,1.201
OECD Env-Growth,SSP3_v9_130325,GBR,GDP|PPP per capita,Annual Average Growth [%],2.415,-0.17,0.966,1.769,1.388,1.12,0.936,0.899,0.837,0.69,0.616,0.703,0.788,0.781,0.669,0.619,0.616,0.656,0.731,0.769
OECD Env-Growth,SSP4_v9_130325,GBR,GDP|PPP per capita,Annual Average Growth [%],2.415,-0.17,0.966,1.859,1.775,1.764,1.729,1.648,1.551,1.378,1.275,1.324,1.373,1.346,1.23,1.181,1.174,1.199,1.246,1.267
OECD Env-Growth,SSP5_v9_130325,GBR,GDP|PPP per capita,Annual Average Growth [%],2.415,-0.17,0.966,1.93,1.917,2.071,2.165,2.081,1.982,1.79,1.705,1.756,1.843,1.894,1.885,1.836,1.818,1.832,1.85,1.873
IIASA GDP,SSP1_v9_130219,GEO,GDP|PPP per capita,Annual Average Growth [%],,,10.245,12.145,9.073,4.538,1.404,0.239,0.265,0.782,1.292,1.606,1.705,1.698,1.679,1.66,1.627,1.609,1.536,1.452
IIASA GDP,SSP2_v9_130219,GEO,GDP|PPP per capita,Annual Average Growth [%],,,10.281,11.992,8.758,4.22,1.203,0.022,-0.006,0.44,0.904,1.214,1.345,1.38,1.387,1.39,1.388,1.373,1.346,1.328
IIASA GDP,SSP3_v9_130219,GEO,GDP|PPP per capita,Annual Average Growth [%],,,10.271,11.734,8.34,3.813,0.9,0.204,0.34,0.655,0.796,0.919,1.003,1.053,1.078,1.097,1.112,1.126,1.142,1.155
IIASA GDP,SSP4_v9_130219,GEO,GDP|PPP per capita,Annual Average Growth [%],,,10.254,11.735,8.306,3.714,0.762,-0.386,-0.382,0.091,0.545,0.788,0.823,0.828,0.888,0.98,1.058,1.104,1.121,1.134
IIASA GDP,SSP5_v9_130219,GEO,GDP|PPP per capita,Annual Average Growth [%],,,10.327,12.381,9.445,4.969,2.021,1.014,1.127,1.663,2.183,2.466,2.498,2.415,2.325,2.238,2.151,2.103,2.01,1.9
OECD Env-Growth,SSP1_v9_130325,GEO,GDP|PPP per capita,Annual Average Growth [%],8.59,5.748,6.623,5.713,5.492,5.374,5.125,4.515,3.854,3.261,2.773,2.478,2.359,2.122,1.814,1.555,1.486,1.497,1.505,1.418
